cidade,população,latitude,longitude
Abaetetuba,157698,-1.721828,-48.878842999999996
Abel Figueiredo,7434,-4.952965,-48.395318
Acará,55591,-1.954818,-48.198985
Afuá,39218,-0.157258,-50.392534
Água Azul do Norte,27430,-6.802939,-50.487583
Alenquer,56789,-1.947305,-54.739305
Almeirim,34109,-1.530910,-52.576253
Altamira,114594,-3.204065,-52.209961
Anajás,29277,-0.985624,-49.935208
Ananindeua,530598,-1.3740350000000001,-48.4016623
Anapu,27890,-3.470480,-51.201135
Augusto Corrêa,45998,-1.024920,-46.645779
Aurora do Pará,31338,-2.133106,-47.560638
Aveiro,16388,-3.604727, -55.330723
Bagre,30673,-1.900350,-50.211375
Baião,47446,-2.791745,-49.672545
Bannach,3286,-7.350737,-50.406680
Barcarena,124680,-1.5107945,-48.6190679
Belém,1492745,-1.45056,-48.4682453
Belterra,17732,-2.637439,-54.938121
Benevides,62737,-1.3555576999999999,-48.252235
Bom Jesus do Tocantins,16981,-5.046509,-48.602517
Bonito,16286,-1.363137,-47.305823
Bragança,127686,-1.060965,-46.783171
Brasil Novo,15086,-3.307241,-52.536847
Brejo Grande do Araguaia,7380,-5.701273,-48.400290
Breu Branco,66046,-3.771378,-49.565751
Breves,102701,-1.681584,-50.477407
Bujaru,29132,-1.518405,-48.037077
Cachoeira do Arari,23767,-1.014431,-48.962152
Cachoeira do Piriá,33900,-1.759660,-46.545320
Cametá,137890,-2.2429490000000003,-49.497885
Canaã dos Carajás,37085,-6.529608,-49.850191
Capanema,69027,-1.204301,-47.179563
Capitão Poço,54303,-1.748240,-47.063338
Castanhal,200793,-1.2927031,-47.922390299999996
Chaves,23717,-0.164239,-49.980750
Colares,12085,-0.930452,-48.288747
Conceição do Araguaia,47864,-8.262360, -49.266794
Concórdia do Pará,33318,-1.993441,-47.944809
Cumaru do Norte,13473,-7.812560,-50.768442
Curionópolis,17929,-6.100109,-49.607223
Curralinho,34448,-1.812219,-49.795675
Curuá,14393,-1.890516,-55.115360
Curuçá,40066,-0.733863,-47.852173
Dom Eliseu,59719,-4.293029,-47.556996
Eldorado do Carajás,33808,-6.104561,-49.354627
Faro,7194,-2.174691,-56.741719
Floresta do Araguaia,20304,-7.563551,-49.706548
Garrafão do Norte,26066,-1.930970,-47.051183
Goianésia do Pará,40475,-3.8380998,-49.097799200000004
Gurupá,33376,-1.407897,-51.647027
Igarapé-Açu,38807,-1.136465,-47.617997
Igarapé-Miri,62698,-1.975951,-48.959758
Inhangapi,11711,-1.431272,-47.913789
